#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,domain,entity_id,friendly_name,source,unit_of_measurement,version
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:50:00Z,42.55,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:51:00Z,42.55,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:52:00Z,42.56666666666666,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:53:00Z,42.7,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:55:00Z,42.6,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:56:00Z,42.6,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:57:00Z,42.4,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:58:00Z,42.25,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:59:00Z,42.25,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:00:00Z,42.05,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:01:00Z,41.9,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:04:00Z,41.8,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:05:00Z,41.8,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:08:00Z,41.86666666666667,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:10:00Z,41.96666666666667,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:12:00Z,42.1,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:13:00Z,42.2,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:14:00Z,42.349999999999994,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:15:00Z,42.5,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:16:00Z,42.6,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:17:00Z,42.7,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:18:00Z,42.8,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:19:00Z,42.95,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:20:00Z,42.95,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:21:00Z,43.150000000000006,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:22:00Z,43.349999999999994,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
