Source,Date,GBP/AUD,USD/AUD,SGD/AUD
RBA,1984-02-12,0.6591,0.9307,1.9837
RBA,1984-02-13,0.6566,0.9316,1.9856
RBA,1984-02-14,0.6574,0.9326,1.9875
RBA,1984-02-15,0.6527,0.9381,1.9979
RBA,1984-02-16,0.6589,0.9464,2.0153
RBA,1984-02-17,0.653,0.9453,2.0104
RBA,1984-02-18,0.653,0.9453,2.0104
RBA,1984-02-19,0.653,0.9453,2.0104
RBA,1984-02-20,0.6523,0.9464,2.012
RBA,1984-02-21,0.6455,0.935,1.99
RBA,1984-02-22,0.6475,0.9382,1.9966
RBA,1984-02-23,0.6499,0.945,2.011
RBA,1984-02-24,0.6456,0.944,2.007
RBA,1984-02-25,0.6456,0.944,2.007
RBA,1984-02-26,0.6456,0.944,2.007
RBA,1984-02-27,0.6422,0.9426,2.0041
RBA,1984-02-28,0.6339,0.944,2.0028
RBA,1984-02-29,0.6326,0.9429,2.0018
RBA,1984-03-01,0.6349,0.9435,2.0022
RBA,1984-03-02,0.6349,0.9432,1.9993
RBA,1984-03-03,0.6349,0.9432,1.9993
RBA,1984-03-04,0.6349,0.9432,1.9993
RBA,1984-03-05,0.6412,0.9508,1.9881
RBA,1984-03-06,0.642,0.955,1.9845
RBA,1984-03-07,0.6442,0.9574,1.9895
RBA,1984-03-08,0.6492,0.9533,1.9953
RBA,1984-03-09,0.6499,0.9527,1.9883
RBA,1984-03-10,0.6499,0.9527,1.9883
RBA,1984-03-11,0.6499,0.9527,1.9883
RBA,1984-03-12,0.6568,0.9546,1.9923
RBA,1984-03-13,0.6606,0.9614,2.0074
RBA,1984-03-14,0.6569,0.9648,2.0099
RBA,1984-03-15,0.6594,0.9653,2.0088
RBA,1984-03-16,0.6638,0.9653,2.0112
RBA,1984-03-17,0.6638,0.9653,2.0112
RBA,1984-03-18,0.6638,0.9653,2.0112
RBA,1984-03-19,0.6624,0.9535,1.9952
RBA,1984-03-20,0.664,0.9573,2.0025
RBA,1984-03-21,0.6657,0.9553,1.9996
RBA,1984-03-22,0.6569,0.9418,1.9702
RBA,1984-03-23,0.6561,0.9395,1.9654
RBA,1984-03-24,0.6561,0.9395,1.9654
RBA,1984-03-25,0.6561,0.9395,1.9654
RBA,1984-03-26,0.6595,0.9487,1.9793
RBA,1984-03-27,0.6543,0.9475,1.9667
RBA,1984-03-28,0.6486,0.9384,1.957
RBA,1984-03-29,0.6441,0.9365,1.9545
RBA,1984-03-30,0.6461,0.935,1.9521
RBA,1984-03-31,0.6461,0.935,1.9521
RBA,1984-04-01,0.6461,0.935,1.9521
RBA,1984-04-02,0.6519,0.9389,1.9581
RBA,1984-04-03,0.6577,0.9389,1.9623
RBA,1984-04-04,0.6569,0.9393,1.9604
RBA,1984-04-05,0.652,0.9333,1.9478
RBA,1984-04-06,0.6466,0.9185,1.9189
RBA,1984-04-07,0.6466,0.9185,1.9189
RBA,1984-04-08,0.6466,0.9185,1.9189
RBA,1984-04-09,0.6374,0.9115,1.9055
RBA,1984-04-10,0.6414,0.9153,1.9111
RBA,1984-04-11,0.6408,0.9202,1.9199
RBA,1984-04-12,0.6421,0.9224,1.9208
RBA,1984-04-13,0.6401,0.9175,1.9113
