Index ID,Unique ID,Entity ID,Entity Filter,Entity Name,Entity Friendly Name,Entity Domain,Entity Group,Entity Location,Entity Topic
22,anode__parents__carbon_Ddioxide__indoor__parents,parents_carbon_dioxide,Detail,Parents Carbon Dioxide,Parents,Carbon Dioxide,Indoor,Parents,haas/sensor/config/sensor/anode/anode__parents__carbon_Ddioxide__indoor__parents/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Parents Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__parents__carbon_Ddioxide__indoor__parents/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__parents__carbon_Ddioxide__indoor__parents""}"
23,anode__base__cloud__outdoor__home,base_cloud,Hidden,Base Cloud,Base,Cloud,Outdoor,Home,haas/sensor/config/sensor/anode/anode__base__cloud__outdoor__home/config,"{""unit_of_measurement"": ""m"", ""qos"": 1, ""name"": ""Base Cloud"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__base__cloud__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__base__cloud__outdoor__home""}"
24,anode__fan__energy__consumption__home,fan_energy,Detail,Fan Energy,Fan,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__fan__energy__consumption__home/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Fan Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__fan__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__fan__energy__consumption__home""}"
25,anode__kitchen_Dlights__energy__consumption__home,kitchen_lights_energy,Detail,Kitchen Lights Energy,Kitchen Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__kitchen_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Kitchen Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__kitchen_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__kitchen_Dlights__energy__consumption__home""}"
26,anode__lamp_Dlights__energy__consumption__home,lamp_lights_energy,Detail,Lamp Lights Energy,Lamp Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__lamp_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Lamp Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__lamp_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__lamp_Dlights__energy__consumption__home""}"
27,anode__ensuite_Dlights__energy__consumption__home,ensuite_lights_energy,Detail,Ensuite Lights Energy,Ensuite Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__ensuite_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Ensuite Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ensuite_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ensuite_Dlights__energy__consumption__home""}"
28,anode__dining_Dlights__energy__consumption__home,dining_lights_energy,Detail,Dining Lights Energy,Dining Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__dining_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Dining Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__dining_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__dining_Dlights__energy__consumption__home""}"
29,anode__office_Dlights__energy__consumption__home,office_lights_energy,Detail,Office Lights Energy,Office Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__office_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Office Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__office_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__office_Dlights__energy__consumption__home""}"
30,anode__lounge_Dlights__energy__consumption__home,lounge_lights_energy,Detail,Lounge Lights Energy,Lounge Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__lounge_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Lounge Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__lounge_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__lounge_Dlights__energy__consumption__home""}"
31,anode__pantry_Dlights__energy__consumption__home,pantry_lights_energy,Detail,Pantry Lights Energy,Pantry Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__pantry_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Pantry Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__pantry_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__pantry_Dlights__energy__consumption__home""}"
32,anode__bathroom_Dlights__energy__consumption__home,bathroom_lights_energy,Detail,Bathroom Lights Energy,Bathroom Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__bathroom_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Bathroom Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__bathroom_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__bathroom_Dlights__energy__consumption__home""}"
33,anode__parents_Dlights__energy__consumption__home,parents_lights_energy,Detail,Parents Lights Energy,Parents Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__parents_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Parents Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__parents_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__parents_Dlights__energy__consumption__home""}"
