Index ID,Unique ID,Entity ID,Entity Filter,Entity Name,Entity Friendly Name,Entity Domain,Entity Group,Entity Location,Entity Topic
72,anode__parents__noise__indoor__parents,parents_noise,Detail,Parents Noise,Parents,Noise,Indoor,Parents,haas/sensor/config/sensor/anode/anode__parents__noise__indoor__parents/config,"{""unit_of_measurement"": ""dB"", ""qos"": 1, ""name"": ""Parents Noise"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__parents__noise__indoor__parents/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__parents__noise__indoor__parents""}"
73,anode__lounge_Dlights__power__consumption__home,lounge_lights_power,Detail,Lounge Lights Power,Lounge Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__lounge_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Lounge Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__lounge_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__lounge_Dlights__power__consumption__home""}"
74,anode__wardrobe_Dlights__power__consumption__home,wardrobe_lights_power,Detail,Wardrobe Lights Power,Wardrobe Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__wardrobe_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Wardrobe Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__wardrobe_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__wardrobe_Dlights__power__consumption__home""}"
75,anode__ensuite_Dlights__power__consumption__home,ensuite_lights_power,Detail,Ensuite Lights Power,Ensuite Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__ensuite_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Ensuite Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ensuite_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ensuite_Dlights__power__consumption__home""}"
76,anode__kitchen_Dlights__power__consumption__home,kitchen_lights_power,Detail,Kitchen Lights Power,Kitchen Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__kitchen_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Kitchen Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__kitchen_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__kitchen_Dlights__power__consumption__home""}"
77,anode__pantry_Dlights__power__consumption__home,pantry_lights_power,Detail,Pantry Lights Power,Pantry Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__pantry_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Pantry Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__pantry_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__pantry_Dlights__power__consumption__home""}"
78,anode__freezer__power__consumption__home,freezer_power,Detail,Freezer Power,Freezer,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__freezer__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Freezer Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__freezer__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__freezer__power__consumption__home""}"
79,anode__parents_Dlights__power__consumption__home,parents_lights_power,Detail,Parents Lights Power,Parents Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__parents_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Parents Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__parents_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__parents_Dlights__power__consumption__home""}"
80,anode__hallway_Dlights__power__consumption__home,hallway_lights_power,Detail,Hallway Lights Power,Hallway Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__hallway_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Hallway Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__hallway_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__hallway_Dlights__power__consumption__home""}"
81,anode__office_Dlights__power__consumption__home,office_lights_power,Detail,Office Lights Power,Office Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__office_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Office Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__office_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__office_Dlights__power__consumption__home""}"
82,anode__dining_Dlights__power__consumption__home,dining_lights_power,Detail,Dining Lights Power,Dining Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__dining_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Dining Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__dining_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__dining_Dlights__power__consumption__home""}"
83,anode__filter__power__consumption__home,filter_power,Detail,Filter Power,Filter,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__filter__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Filter Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__filter__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__filter__power__consumption__home""}"
84,anode__fan__power__consumption__home,fan_power,Detail,Fan Power,Fan,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__fan__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Fan Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__fan__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__fan__power__consumption__home""}"
85,anode__laundry_Dlights__power__consumption__home,laundry_lights_power,Detail,Laundry Lights Power,Laundry Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__laundry_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Laundry Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__laundry_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__laundry_Dlights__power__consumption__home""}"
86,anode__bathroom_Dlights__power__consumption__home,bathroom_lights_power,Detail,Bathroom Lights Power,Bathroom Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__bathroom_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Bathroom Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__bathroom_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__bathroom_Dlights__power__consumption__home""}"
87,anode__lamp_Dlights__power__consumption__home,lamp_lights_power,Detail,Lamp Lights Power,Lamp Lights,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__lamp_Dlights__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Lamp Lights Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__lamp_Dlights__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__lamp_Dlights__power__consumption__home""}"
88,anode__servers__power__consumption__home,servers_power,Detail,Servers Power,Servers,Power,Consumption,Home,haas/sensor/config/sensor/anode/anode__servers__power__consumption__home/config,"{""unit_of_measurement"": ""W"", ""qos"": 1, ""name"": ""Servers Power"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__servers__power__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__servers__power__consumption__home""}"
89,anode__ada__pressure_Dabsolute__indoor__ada,ada_pressure_absolute,Detail,Ada Pressure Absolute,Ada,Pressure Absolute,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__pressure_Dabsolute__indoor__ada/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Ada Pressure Absolute"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__pressure_Dabsolute__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__pressure_Dabsolute__indoor__ada""}"
90,anode__edwin__pressure_Dabsolute__indoor__edwin,edwin_pressure_absolute,Detail,Edwin Pressure Absolute,Edwin,Pressure Absolute,Indoor,Edwin,haas/sensor/config/sensor/anode/anode__edwin__pressure_Dabsolute__indoor__edwin/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Edwin Pressure Absolute"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__edwin__pressure_Dabsolute__indoor__edwin/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__edwin__pressure_Dabsolute__indoor__edwin""}"
91,anode__kitchen__pressure_Dabsolute__indoor__kitchen,kitchen_pressure_absolute,Detail,Kitchen Pressure Absolute,Kitchen,Pressure Absolute,Indoor,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__pressure_Dabsolute__indoor__kitchen/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Kitchen Pressure Absolute"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__kitchen__pressure_Dabsolute__indoor__kitchen/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__kitchen__pressure_Dabsolute__indoor__kitchen""}"
92,anode__laundry__pressure_Dabsolute__indoor__laundry,laundry_pressure_absolute,Detail,Laundry Pressure Absolute,Laundry,Pressure Absolute,Indoor,Laundry,haas/sensor/config/sensor/anode/anode__laundry__pressure_Dabsolute__indoor__laundry/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Laundry Pressure Absolute"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__laundry__pressure_Dabsolute__indoor__laundry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__laundry__pressure_Dabsolute__indoor__laundry""}"
93,anode__office__pressure_Dabsolute__indoor__office,office_pressure_absolute,Detail,Office Pressure Absolute,Office,Pressure Absolute,Indoor,Office,haas/sensor/config/sensor/anode/anode__office__pressure_Dabsolute__indoor__office/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Office Pressure Absolute"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__office__pressure_Dabsolute__indoor__office/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__office__pressure_Dabsolute__indoor__office""}"
94,anode__parents__pressure_Dabsolute__indoor__parents,parents_pressure_absolute,Detail,Parents Pressure Absolute,Parents,Pressure Absolute,Indoor,Parents,haas/sensor/config/sensor/anode/anode__parents__pressure_Dabsolute__indoor__parents/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Parents Pressure Absolute"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__parents__pressure_Dabsolute__indoor__parents/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__parents__pressure_Dabsolute__indoor__parents""}"
95,anode__ada__pressure__indoor__ada,ada_pressure,Detail,Ada Pressure,Ada,Pressure,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__pressure__indoor__ada/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Ada Pressure"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__pressure__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__pressure__indoor__ada""}"
96,anode__edwin__pressure__indoor__edwin,edwin_pressure,Detail,Edwin Pressure,Edwin,Pressure,Indoor,Edwin,haas/sensor/config/sensor/anode/anode__edwin__pressure__indoor__edwin/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Edwin Pressure"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__edwin__pressure__indoor__edwin/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__edwin__pressure__indoor__edwin""}"
97,anode__kitchen__pressure__indoor__kitchen,kitchen_pressure,Detail,Kitchen Pressure,Kitchen,Pressure,Indoor,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__pressure__indoor__kitchen/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Kitchen Pressure"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__kitchen__pressure__indoor__kitchen/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__kitchen__pressure__indoor__kitchen""}"
98,anode__laundry__pressure__indoor__laundry,laundry_pressure,Detail,Laundry Pressure,Laundry,Pressure,Indoor,Laundry,haas/sensor/config/sensor/anode/anode__laundry__pressure__indoor__laundry/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Laundry Pressure"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__laundry__pressure__indoor__laundry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__laundry__pressure__indoor__laundry""}"
99,anode__office__pressure__indoor__office,office_pressure,Detail,Office Pressure,Office,Pressure,Indoor,Office,haas/sensor/config/sensor/anode/anode__office__pressure__indoor__office/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Office Pressure"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__office__pressure__indoor__office/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__office__pressure__indoor__office""}"
100,anode__parents__pressure__indoor__parents,parents_pressure,Detail,Parents Pressure,Parents,Pressure,Indoor,Parents,haas/sensor/config/sensor/anode/anode__parents__pressure__indoor__parents/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Parents Pressure"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__parents__pressure__indoor__parents/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__parents__pressure__indoor__parents""}"
101,anode__roof__pressure__outdoor__roof,roof_pressure,Detail,Roof Pressure,Roof,Pressure,Outdoor,Roof,haas/sensor/config/sensor/anode/anode__roof__pressure__outdoor__roof/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Roof Pressure"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof__pressure__outdoor__roof/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof__pressure__outdoor__roof""}"
102,anode__last_D30_Dmin__rain__outdoor__home,last_30_min_rain,Detail,Last 30 Min Rain,Last 30 Min,Rain,Outdoor,Home,haas/sensor/config/sensor/anode/anode__last_D30_Dmin__rain__outdoor__home/config,"{""unit_of_measurement"": ""mm"", ""qos"": 1, ""name"": ""Last 30 Min Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__last_D30_Dmin__rain__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__last_D30_Dmin__rain__outdoor__home""}"
103,anode__year__rain__outdoor__home,year_rain,Detail,Year Rain,Year,Rain,Outdoor,Home,haas/sensor/config/sensor/anode/anode__year__rain__outdoor__home/config,"{""unit_of_measurement"": ""m"", ""qos"": 1, ""name"": ""Year Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__year__rain__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__year__rain__outdoor__home""}"
104,anode__month__rain__outdoor__home,month_rain,Detail,Month Rain,Month,Rain,Outdoor,Home,haas/sensor/config/sensor/anode/anode__month__rain__outdoor__home/config,"{""unit_of_measurement"": ""cm"", ""qos"": 1, ""name"": ""Month Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__month__rain__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__month__rain__outdoor__home""}"
105,anode__rate__rain__outdoor__home,rate_rain,Detail,Rate Rain,Rate,Rain,Outdoor,Home,haas/sensor/config/sensor/anode/anode__rate__rain__outdoor__home/config,"{""unit_of_measurement"": ""mm/h"", ""qos"": 1, ""name"": ""Rate Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__rate__rain__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__rate__rain__outdoor__home""}"
106,anode__roof_Ddew_Dpoint__rain__outdoor__home,roof_dew_point_rain,Detail,Roof Dew Point Rain,Roof Dew Point,Rain,Outdoor,Home,haas/sensor/config/sensor/anode/anode__roof_Ddew_Dpoint__rain__outdoor__home/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Roof Dew Point Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof_Ddew_Dpoint__rain__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof_Ddew_Dpoint__rain__outdoor__home""}"
107,anode__day__rain__outdoor__home,day_rain,Detail,Day Rain,Day,Rain,Outdoor,Home,haas/sensor/config/sensor/anode/anode__day__rain__outdoor__home/config,"{""unit_of_measurement"": ""mm"", ""qos"": 1, ""name"": ""Day Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__day__rain__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__day__rain__outdoor__home""}"
108,anode__utility_Ddew_Dpoint__rain__indoor__home,utility_dew_point_rain,Detail,Utility Dew Point Rain,Utility Dew Point,Rain,Indoor,Home,haas/sensor/config/sensor/anode/anode__utility_Ddew_Dpoint__rain__indoor__home/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Utility Dew Point Rain"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__utility_Ddew_Dpoint__rain__indoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__utility_Ddew_Dpoint__rain__indoor__home""}"
109,anode__azimuth__sun__outdoor__home,azimuth_sun,Hidden,Azimuth Sun,Azimuth,Sun,Outdoor,Home,haas/sensor/config/sensor/anode/anode__azimuth__sun__outdoor__home/config,"{""unit_of_measurement"": ""°"", ""qos"": 1, ""name"": ""Azimuth Sun"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__azimuth__sun__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__azimuth__sun__outdoor__home""}"
